id,line_name,alt_name,en,kana,code
1002,東海道新幹線,東海道新幹線,Tokaido Shinkansen,とうかいどうしんかんせん,
1003,山陽新幹線,,,,
1004,東北新幹線,東北新幹線,Tohoku Shinkansen,とうほくしんかんせん,
1005,上越新幹線,上越新幹線,Joetsu Shinkansen,じょうえつしんかんせん,
1006,上越新幹線(ガーラ湯沢支線),,,,
1007,山形新幹線,山形新幹線,Yamagata Shinkansen,やまがたしんかんせん,
1008,秋田新幹線,秋田新幹線,Akita Shinkansen,あきたしんかんせん,
1009,北陸新幹線,北陸新幹線,Hokuriku Shinkansen,ほくりくしんかんせん,
1010,九州新幹線,,,,
1011,北海道新幹線,北海道新幹線,Hokkaido Shinkansen,ほっかいどうしんかんせん,
11101,JR函館本線(函館～長万部),函館本線,Hakodate Main Line,はこだてほんせん,
11102,JR函館本線(長万部～小樽),函館本線,,,
11103,JR函館本線(小樽～旭川),函館本線,,,
11104,JR室蘭本線(長万部・室蘭～苫小牧),室蘭本線,Muroran Main Line,むろらんほんせん,
11105,JR室蘭本線(苫小牧～岩見沢),室蘭本線,,,
11106,JR根室本線(滝川～新得),根室本線,Nemuro Main Line,ねむろほんせん,
11107,JR根室本線(新得～釧路),根室本線,,,
11108,花咲線,根室本線,,,
11109,JR千歳線,千歳線,Chitose Line,ちとせせん,
11110,JR石勝線,石勝線,Sekisho Line,せきしょうせん,
11111,JR日高本線,日高本線,Hidaka Main Line,ひだかほんせん,
11112,JR札沼線,札沼線,Sassho Line,さっしょうせん,
11113,JR留萌本線,留萌本線,Rumoi Main Line,るもいほんせん,
11114,JR富良野線,富良野線,Furano Line,ふらのせん,
11115,JR宗谷本線,宗谷本線,Soya Main Line,そうやほんせん,
11116,JR石北本線,石北本線,Sekihoku Main Line,せきほくほんせん,
11117,JR釧網本線,釧網本線,Senmo Main Line,せんもうほんせん,
11118,JR海峡線,,,,
11202,JR奥羽本線(新庄～青森),奥羽本線,Ou Main Line,おううほんせん,JR-East.Ou
11231,JR東北本線(黒磯～利府・盛岡),東北本線,Tohoku Main Line,とうほくほんせん,
